,Problem #,Language,Model Exe Time,KS Distance - All,KS Score - All,KS Exe Time - All,KS Distance - SS,KS Score - SS,KS Exe Time - SS,KL Divergence,KL Exe Time,dims
0,1,pymc_model,3.1281678676605225,0.1297394037246704,0.9999812575289292,0.5981390476226807,0.1164259612560272,0.99999999983052,0.5000381469726562,0.2068185060236445,0.0013351440429687,1
1,1,pyro_model,1.259453058242798,0.1297394037246704,0.9999811891288222,0.6033329963684082,0.1150523424148559,0.999999855195361,0.7139389514923096,0.207380031131677,0.0014810562133789,1
2,1,stan_model,0.2920379638671875,0.1331641376018524,0.999394941062988,0.638477087020874,0.1331641376018524,0.9999998548952084,0.5319342613220215,0.2153608402475541,0.0010831356048583,1
4,2,pyro_model,3.179868221282959,0.2147164344787597,0.2730992912000846,2.0263919830322266,0.2147164344787597,0.7601541241780254,1.6703221797943115,0.0114969305251139,0.001673936843872,1
3,2,pymc_model,2.038153886795044,0.2158379554748535,0.2729669614612944,1.897115707397461,0.1985382437705993,0.7600121482516924,1.6525850296020508,0.0115457043387925,0.0012199878692626,1
5,2,stan_model,0.2566282749176025,0.2141284942626953,0.2734706957802665,2.1038670539855957,0.2055968046188354,0.415097646344761,1.8164079189300537,0.0113856749276719,0.0015289783477783,1
8,3,stan_model,0.975837230682373,0.0855877995491027,1.0,0.4326472282409668,0.0538091361522674,1.0,0.3793599605560303,0.0454604350774343,0.0008459091186523,1
7,3,pyro_model,3.0543103218078613,0.086399495601654,1.0,0.4615018367767334,0.0717982351779937,1.0,0.3332688808441162,0.0461639232978994,0.0008859634399414,1
6,3,pymc_model,1.14544677734375,0.086399495601654,1.0,0.4447081089019775,0.0785621404647827,1.0,0.3892958164215088,0.0466170214994187,0.0012071132659912,1
11,4,stan_model,0.138556957244873,0.1072557270526886,0.9999999998783348,0.5159168243408203,0.0935789346694946,0.9999999999999898,0.4597260951995849,0.027768442431211,0.0009031295776367,1
10,4,pyro_model,1.124992847442627,0.1046293675899505,0.9999999998759131,0.6411216259002686,0.0791811347007751,1.0,0.4079437255859375,0.0229319973017463,0.0013868808746337,1
